https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1641204000000,2022-01-03 10:00:00,BNB/USDT,526.420,528.860,525.850,527.790,26695.87,14081132.37080,21961
1641200400000,2022-01-03 09:00:00,BNB/USDT,526.080,527.160,524.000,526.400,20542.56,10793525.81310,17719
1641196800000,2022-01-03 08:00:00,BNB/USDT,525.430,526.800,525.130,526.080,16987.73,8934891.00350,13815
1641193200000,2022-01-03 07:00:00,BNB/USDT,523.780,525.600,523.170,525.430,13354.55,7003538.49500,11673
1641189600000,2022-01-03 06:00:00,BNB/USDT,526.550,526.660,523.260,523.670,18017.12,9452532.35630,14422
1641186000000,2022-01-03 05:00:00,BNB/USDT,523.620,526.960,522.820,526.540,23552.98,12367595.72580,15859
1641182400000,2022-01-03 04:00:00,BNB/USDT,524.370,525.750,523.250,523.690,21372.86,11211908.73970,12686
1641178800000,2022-01-03 03:00:00,BNB/USDT,526.060,526.790,523.000,524.370,26089.80,13692931.99080,17209
1641175200000,2022-01-03 02:00:00,BNB/USDT,528.840,528.850,524.630,526.070,20332.06,10700981.76170,18407
1641171600000,2022-01-03 01:00:00,BNB/USDT,527.350,529.570,527.000,528.820,16895.41,8924996.58490,15010
1641168000000,2022-01-03 00:00:00,BNB/USDT,530.920,531.020,527.200,527.350,22315.24,11813687.05350,19764
1641164400000,2022-01-02 23:00:00,BNB/USDT,531.260,532.400,530.720,530.910,19067.44,10136478.00990,17247
1641160800000,2022-01-02 22:00:00,BNB/USDT,529.310,531.650,529.310,531.220,14261.70,7565792.64920,13464
1641157200000,2022-01-02 21:00:00,BNB/USDT,529.680,530.980,528.620,529.340,16901.91,8953007.90820,15608
1641153600000,2022-01-02 20:00:00,BNB/USDT,528.870,530.350,528.100,529.710,18652.26,9874317.95400,15511
1641150000000,2022-01-02 19:00:00,BNB/USDT,527.320,529.780,526.510,528.890,30558.38,16140890.78270,20853
1641146400000,2022-01-02 18:00:00,BNB/USDT,530.110,530.390,523.290,527.320,50943.16,26832832.51710,36320
1641142800000,2022-01-02 17:00:00,BNB/USDT,531.300,533.900,529.190,530.110,62010.56,32954482.61890,38114
1641139200000,2022-01-02 16:00:00,BNB/USDT,525.820,532.000,525.750,531.300,59269.34,31351284.94742,38326
1641135600000,2022-01-02 15:00:00,BNB/USDT,523.540,526.900,523.000,525.820,28312.66,14864826.80070,25509
1641132000000,2022-01-02 14:00:00,BNB/USDT,522.470,523.880,521.810,523.510,15869.74,8299309.01770,17006
1641128400000,2022-01-02 13:00:00,BNB/USDT,523.900,524.320,521.600,522.470,14517.58,7593499.75230,16254
1641124800000,2022-01-02 12:00:00,BNB/USDT,523.030,524.900,521.620,523.890,19776.71,10347742.11130,17324
1641121200000,2022-01-02 11:00:00,BNB/USDT,522.640,524.490,522.320,523.050,12934.68,6772046.69410,14385
1641117600000,2022-01-02 10:00:00,BNB/USDT,522.740,523.570,522.280,522.630,10558.92,5521904.90090,11571
1641114000000,2022-01-02 09:00:00,BNB/USDT,521.800,524.740,521.500,522.750,19258.20,10074777.87990,18735
1641110400000,2022-01-02 08:00:00,BNB/USDT,521.960,522.460,519.830,521.800,15302.17,7978388.80640,16547
1641106800000,2022-01-02 07:00:00,BNB/USDT,521.210,522.740,520.560,521.960,17071.04,8904536.77870,16730
1641103200000,2022-01-02 06:00:00,BNB/USDT,522.890,522.890,521.070,521.220,15019.72,7838766.94230,16529
1641099600000,2022-01-02 05:00:00,BNB/USDT,519.470,522.970,518.790,522.890,21321.36,11112438.54050,17455
1641096000000,2022-01-02 04:00:00,BNB/USDT,523.140,523.240,518.010,519.470,33525.30,17458773.03590,24321
1641092400000,2022-01-02 03:00:00,BNB/USDT,523.160,524.400,522.680,523.150,10174.00,5326507.44620,13968
1641088800000,2022-01-02 02:00:00,BNB/USDT,523.080,524.650,522.700,523.190,16849.13,8824351.80410,14453
1641085200000,2022-01-02 01:00:00,BNB/USDT,525.290,525.590,522.800,523.070,19195.48,10064697.89080,17910
1641081600000,2022-01-02 00:00:00,BNB/USDT,527.360,527.790,524.410,525.300,30728.41,16173693.80010,20789
1641078000000,2022-01-01 23:00:00,BNB/USDT,525.440,528.160,524.530,527.340,27805.13,14628412.35870,20823
1641074400000,2022-01-01 22:00:00,BNB/USDT,525.080,526.340,524.220,525.450,17156.65,9016227.38700,12398
1641070800000,2022-01-01 21:00:00,BNB/USDT,525.820,527.300,524.320,525.080,20989.93,11036779.70980,18505
1641067200000,2022-01-01 20:00:00,BNB/USDT,524.200,527.390,524.180,525.780,29860.08,15706296.95550,23299
1641063600000,2022-01-01 19:00:00,BNB/USDT,523.170,524.750,522.890,524.210,15952.93,8357025.33150,16080
1641060000000,2022-01-01 18:00:00,BNB/USDT,524.220,524.990,522.410,523.180,24526.55,12840459.52370,22399
1641056400000,2022-01-01 17:00:00,BNB/USDT,521.300,525.400,520.400,524.220,31074.16,16260302.92500,23858
1641052800000,2022-01-01 16:00:00,BNB/USDT,518.630,525.050,517.540,521.300,63464.77,33110023.59669,36200
1641049200000,2022-01-01 15:00:00,BNB/USDT,516.450,521.000,516.060,518.630,28609.17,14846765.34060,22906
1641045600000,2022-01-01 14:00:00,BNB/USDT,517.140,518.300,516.100,516.460,14382.15,7436762.30230,13232
1641042000000,2022-01-01 13:00:00,BNB/USDT,516.970,517.970,516.280,517.150,14860.50,7685715.06740,15020
1641038400000,2022-01-01 12:00:00,BNB/USDT,513.700,517.710,513.600,516.960,19988.69,10315042.00200,14624
1641034800000,2022-01-01 11:00:00,BNB/USDT,514.310,515.920,513.510,513.700,17523.29,9018981.80000,17039
1641031200000,2022-01-01 10:00:00,BNB/USDT,515.710,517.050,512.350,514.290,28531.54,14679607.38580,22322
1641027600000,2022-01-01 09:00:00,BNB/USDT,516.040,517.340,513.520,515.670,20304.02,10465738.63680,15583
1641024000000,2022-01-01 08:00:00,BNB/USDT,516.080,517.200,515.010,516.040,21413.88,11055053.62150,17622
1641020400000,2022-01-01 07:00:00,BNB/USDT,515.090,516.650,513.750,516.020,26783.22,13792977.70690,18578
1641016800000,2022-01-01 06:00:00,BNB/USDT,518.190,519.150,514.600,515.100,23430.33,12110567.09636,17506
1641013200000,2022-01-01 05:00:00,BNB/USDT,514.840,521.770,514.430,518.190,40672.09,21097471.07229,27124
1641009600000,2022-01-01 04:00:00,BNB/USDT,518.050,518.630,514.720,514.860,22599.17,11671142.63420,17066
1641006000000,2022-01-01 03:00:00,BNB/USDT,517.900,518.890,517.360,518.050,11911.58,6172399.30260,12691
1641002400000,2022-01-01 02:00:00,BNB/USDT,517.220,519.350,517.220,517.900,17021.32,8821834.73310,16143
1640998800000,2022-01-01 01:00:00,BNB/USDT,517.410,520.180,516.090,517.220,35162.93,18226548.26640,24806
1640995200000,2022-01-01 00:00:00,BNB/USDT,511.550,517.850,511.430,517.420,29322.02,15096099.42616,22736
1640991600000,2021-12-31 23:00:00,BNB/USDT,511.520,514.370,510.650,511.560,22612.52,11593696.13280,16088
1640988000000,2021-12-31 22:00:00,BNB/USDT,512.530,514.590,511.310,511.530,25335.88,12999659.28990,17559
1640984400000,2021-12-31 21:00:00,BNB/USDT,507.580,513.180,507.010,512.520,34544.33,17619123.69080,26039
1640980800000,2021-12-31 20:00:00,BNB/USDT,507.250,511.000,506.010,507.570,40688.95,20707094.46720,30058
1640977200000,2021-12-31 19:00:00,BNB/USDT,514.950,515.030,507.000,507.260,64609.80,32947090.24133,42738
1640973600000,2021-12-31 18:00:00,BNB/USDT,516.250,516.800,513.500,514.950,27347.59,14094770.69360,20629
1640970000000,2021-12-31 17:00:00,BNB/USDT,517.170,518.500,513.580,516.250,44580.14,23005629.55876,33141
1640966400000,2021-12-31 16:00:00,BNB/USDT,521.730,522.770,516.030,517.180,35835.60,18625869.25510,26969
1640962800000,2021-12-31 15:00:00,BNB/USDT,521.380,522.820,520.800,521.760,18711.00,9765168.59440,15623
1640959200000,2021-12-31 14:00:00,BNB/USDT,521.000,522.840,520.310,521.380,19697.20,10272772.94370,16896
1640955600000,2021-12-31 13:00:00,BNB/USDT,522.100,522.630,520.620,521.000,20923.82,10912676.39250,14981
1640952000000,2021-12-31 12:00:00,BNB/USDT,521.960,523.140,520.770,522.100,17720.11,9249400.96500,16573
1640948400000,2021-12-31 11:00:00,BNB/USDT,521.260,523.410,521.090,521.920,26307.17,13738896.98310,22133
1640944800000,2021-12-31 10:00:00,BNB/USDT,524.460,525.210,520.150,521.190,34647.48,18127335.35590,28023
