https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1597708800000,2020-08-18 00:00:00,ADA/USDT,0.14056,0.14225,0.14031,0.14188,15717774,2220818.47505,5922
1597705200000,2020-08-17 23:00:00,ADA/USDT,0.14215,0.14252,0.14020,0.14069,19044048,2687020.67897,7016
1597701600000,2020-08-17 22:00:00,ADA/USDT,0.14237,0.14314,0.14184,0.14209,13476564,1919268.96603,4992
1597698000000,2020-08-17 21:00:00,ADA/USDT,0.14249,0.14326,0.14177,0.14237,13072220,1863183.80354,5091
1597694400000,2020-08-17 20:00:00,ADA/USDT,0.14222,0.14297,0.14188,0.14242,7820110,1114062.31181,4344
1597690800000,2020-08-17 19:00:00,ADA/USDT,0.14178,0.14240,0.14150,0.14221,8906325,1265095.09381,4237
1597687200000,2020-08-17 18:00:00,ADA/USDT,0.14287,0.14310,0.14140,0.14176,16007022,2277214.08055,6047
1597683600000,2020-08-17 17:00:00,ADA/USDT,0.14353,0.14386,0.14257,0.14284,18302434,2620800.08308,7189
1597680000000,2020-08-17 16:00:00,ADA/USDT,0.14111,0.14521,0.14106,0.14353,49020745,7023288.06019,12675
1597676400000,2020-08-17 15:00:00,ADA/USDT,0.14172,0.14187,0.13932,0.14102,30008491,4219033.00811,9438
1597672800000,2020-08-17 14:00:00,ADA/USDT,0.14172,0.14210,0.13932,0.14168,37469169,5267667.68059,9718
1597669200000,2020-08-17 13:00:00,ADA/USDT,0.14325,0.14372,0.14000,0.14173,55468857,7865536.41252,14484
1597665600000,2020-08-17 12:00:00,ADA/USDT,0.14293,0.14422,0.14274,0.14323,24624637,3533676.60708,7308
1597662000000,2020-08-17 11:00:00,ADA/USDT,0.14410,0.14428,0.14268,0.14287,32249321,4624627.51976,8577
1597658400000,2020-08-17 10:00:00,ADA/USDT,0.14345,0.14529,0.14254,0.14413,49735319,7152484.37386,13728
1597654800000,2020-08-17 09:00:00,ADA/USDT,0.13866,0.14484,0.13850,0.14342,97977725,13960647.48677,25754
1597651200000,2020-08-17 08:00:00,ADA/USDT,0.13849,0.13936,0.13849,0.13863,13705711,1903751.70642,5841
1597647600000,2020-08-17 07:00:00,ADA/USDT,0.13886,0.13899,0.13826,0.13851,9463980,1311935.23890,3987
1597644000000,2020-08-17 06:00:00,ADA/USDT,0.13844,0.13941,0.13820,0.13887,11517359,1599488.28292,4153
1597640400000,2020-08-17 05:00:00,ADA/USDT,0.13838,0.13914,0.13818,0.13844,9214121,1278325.46777,3793
1597636800000,2020-08-17 04:00:00,ADA/USDT,0.13900,0.13914,0.13833,0.13836,9823470,1362790.92512,3911
1597633200000,2020-08-17 03:00:00,ADA/USDT,0.13884,0.13912,0.13810,0.13892,7178500,994902.25638,4288
1597629600000,2020-08-17 02:00:00,ADA/USDT,0.13853,0.13888,0.13753,0.13879,9703323,1342262.49173,4894
1597626000000,2020-08-17 01:00:00,ADA/USDT,0.13926,0.13939,0.13788,0.13855,11556226,1599871.96136,4926
1597622400000,2020-08-17 00:00:00,ADA/USDT,0.13898,0.13987,0.13842,0.13925,26622083,3703625.63213,7844
1597618800000,2020-08-16 23:00:00,ADA/USDT,0.13831,0.13915,0.13816,0.13893,10807704,1498535.37097,4379
1597615200000,2020-08-16 22:00:00,ADA/USDT,0.13844,0.13927,0.13782,0.13830,20446898,2835654.58060,6055
1597611600000,2020-08-16 21:00:00,ADA/USDT,0.13732,0.13866,0.13710,0.13842,15707487,2167998.07724,5853
1597608000000,2020-08-16 20:00:00,ADA/USDT,0.13732,0.13761,0.13632,0.13732,9480067,1298407.00092,5069
1597604400000,2020-08-16 19:00:00,ADA/USDT,0.13724,0.13801,0.13675,0.13733,11655903,1601266.66166,6738
1597600800000,2020-08-16 18:00:00,ADA/USDT,0.13791,0.13812,0.13713,0.13727,9213462,1266699.28792,3822
1597597200000,2020-08-16 17:00:00,ADA/USDT,0.13858,0.13872,0.13770,0.13790,7339688,1014168.30035,3631
1597593600000,2020-08-16 16:00:00,ADA/USDT,0.13756,0.13920,0.13753,0.13854,15409883,2134471.12240,6209
1597590000000,2020-08-16 15:00:00,ADA/USDT,0.13729,0.13780,0.13688,0.13754,11254475,1547615.47983,4672
1597586400000,2020-08-16 14:00:00,ADA/USDT,0.13719,0.13763,0.13673,0.13729,9117797,1251486.27388,3814
1597582800000,2020-08-16 13:00:00,ADA/USDT,0.13725,0.13781,0.13675,0.13718,9575618,1314810.20717,4154
1597579200000,2020-08-16 12:00:00,ADA/USDT,0.13699,0.13748,0.13500,0.13726,30646510,4175355.23862,9333
1597575600000,2020-08-16 11:00:00,ADA/USDT,0.13776,0.13785,0.13669,0.13699,16140932,2213860.88215,5432
1597572000000,2020-08-16 10:00:00,ADA/USDT,0.13817,0.13835,0.13712,0.13779,14715156,2025581.84174,5299
1597568400000,2020-08-16 09:00:00,ADA/USDT,0.13834,0.13871,0.13800,0.13814,5977118,826771.35368,3071
1597564800000,2020-08-16 08:00:00,ADA/USDT,0.13910,0.13930,0.13791,0.13829,17886670,2476065.76683,5155
1597561200000,2020-08-16 07:00:00,ADA/USDT,0.13918,0.13967,0.13875,0.13909,6391299,889278.33913,3836
1597557600000,2020-08-16 06:00:00,ADA/USDT,0.13914,0.13948,0.13834,0.13917,5386873,748669.99600,3518
1597554000000,2020-08-16 05:00:00,ADA/USDT,0.13943,0.13988,0.13887,0.13913,7762652,1082472.37134,4008
1597550400000,2020-08-16 04:00:00,ADA/USDT,0.13842,0.13968,0.13824,0.13946,9509866,1321005.68638,4238
1597546800000,2020-08-16 03:00:00,ADA/USDT,0.13875,0.13945,0.13829,0.13844,6831120,949018.97286,4012
1597543200000,2020-08-16 02:00:00,ADA/USDT,0.13891,0.13926,0.13851,0.13876,9074173,1260256.94856,4185
1597539600000,2020-08-16 01:00:00,ADA/USDT,0.13763,0.13903,0.13696,0.13889,14031753,1939228.48600,5619
1597536000000,2020-08-16 00:00:00,ADA/USDT,0.13862,0.13878,0.13742,0.13762,11526481,1590410.04288,4867
1597532400000,2020-08-15 23:00:00,ADA/USDT,0.13864,0.13898,0.13756,0.13862,10740057,1485111.39282,5493
1597528800000,2020-08-15 22:00:00,ADA/USDT,0.13823,0.13969,0.13813,0.13864,15883179,2205374.79105,6414
1597525200000,2020-08-15 21:00:00,ADA/USDT,0.13847,0.13887,0.13643,0.13824,30492761,4198192.95711,9365
1597521600000,2020-08-15 20:00:00,ADA/USDT,0.13890,0.13943,0.13827,0.13847,13760386,1909090.20401,5407
1597518000000,2020-08-15 19:00:00,ADA/USDT,0.13987,0.14007,0.13865,0.13892,14933681,2078644.65630,5706
1597514400000,2020-08-15 18:00:00,ADA/USDT,0.13962,0.14063,0.13948,0.13987,12632904,1768081.53927,5096
